slug,name,url
punkwasp,"PunkWasp",https://punkwasp.neocities.org
gardenofmadeline,"The Garden of Madeline",https://thegardenofmadeline.neocities.org/
awhe,"Mimi",https://awhe.neocities.org/
darylsun,"Daryl Sun",https://blog.darylsun.page/
libre-town,"Lian",https://libre.town
nickolox,"Nick",https://nickolox.neocities.org/
vanillabit,"frogs",https://vanillabit.neocities.org/
bechnokid,"Bechno Kid",https://bechnokid.neocities.org/
grulovia,"junior",https://grulovia.neocities.org/
strawberry-gashes,"erin",https://strawberry-gashes.neocities.org
corvidae,"corvidae",https://crisis.city/
